match_key,level,ncbi_taxon_id_if_available,n_dataset_rows,active_threshold_uM,inactive_threshold_uM,source,notes
Staphylococcus,genus,,15848,,,,
Escherichia coli,species,562,12856,32,128,user-specified 2026-08-15,
Escherichia,genus,,12856,,,,
Staphylococcus aureus,species,1280,12047,32,128,user-specified 2026-08-15,
Pseudomonas,genus,,9759,,,,
Pseudomonas aeruginosa,species,287,8937,32,128,user-specified 2026-08-15,
Bacillus,genus,,5600,,,,
Klebsiella,genus,,4246,,,,
Bacillus subtilis,species,1423,3888,,,,
Klebsiella pneumoniae,species,573,3780,,,,
Enterococcus,genus,,3706,,,,
Salmonella,genus,,3269,,,,
Acinetobacter,genus,,3243,,,,
Staphylococcus epidermidis,species,1282,3133,,,,
Acinetobacter baumannii,species,470,3098,,,,
Enterococcus faecalis,species,1351,2497,,,,
Salmonella enterica,species,28901,2193,,,,
Streptococcus,genus,,2031,,,,
Micrococcus,genus,,1341,,,,
Micrococcus luteus,species,1270,1338,,,,
Enterococcus faecium,species,1352,1117,,,,
Listeria,genus,,1057,,,,
Salmonella typhimurium,species,90371,1013,,,,
Vibrio,genus,,939,,,,
Bacillus cereus,species,1396,814,,,,
Listeria monocytogenes,species,1639,759,,,,
Enterobacter,genus,,646,,,,
Enterobacter cloacae,species,550,618,,,,
Proteus,genus,,610,,,,
Mycobacterium,genus,,516,,,,
Xanthomonas,genus,,496,,,,
Shigella,genus,,483,,,,
Bacillus megaterium,species,1404,467,,,,
Bacteroides,genus,,414,,,,
Pseudomonas syringae,species,317,408,,,,
Streptococcus pyogenes,species,1314,379,,,,
Aeromonas,genus,,376,,,,
Proteus mirabilis,species,584,346,,,,
Corynebacterium,genus,,344,,,,
Streptococcus pneumoniae,species,1313,340,,,,
Streptococcus mutans,species,1309,333,,,,
Klebsiella aerogenes,species,548,330,,,,
Stenotrophomonas,genus,,268,,,,
Serratia,genus,,264,,,,
Stenotrophomonas maltophilia,species,40324,263,,,,
Proteus vulgaris,species,585,255,,,,
Yersinia,genus,,241,,,,
Shigella dysenteriae,species,622,236,,,,
Serratia marcescens,species,615,233,,,,
Erwinia amylovora,species,552,223,,,,
Erwinia,genus,,223,,,,
Vibrio parahaemolyticus,species,670,208,,,,
Mycobacterium tuberculosis,species,1773,203,,,,
Streptococcus agalactiae,species,1311,190,,,,
Clostridium,genus,,189,,,,
Listeria innocua,species,1642,184,,,,
Lactococcus,genus,,181,,,,
Xanthomonas campestris,species,339,180,,,,
Aeromonas hydrophila,species,644,167,,,,
Xanthomonas vesicatoria,species,56460,167,,,,
Burkholderia,genus,,159,,,,
Cutibacterium acnes,species,1747,157,,,,
Cutibacterium,genus,,157,,,,
Mycobacterium smegmatis,species,1763,155,,,,
Cronobacter,genus,,155,,,,
Shigella flexneri,species,623,152,,,,
Vibrio alginolyticus,species,663,149,,,,
Corynebacterium glutamicum,species,1718,146,,,,
Lactococcus lactis,species,1358,144,,,,
Citrobacter,genus,,144,,,,
Pseudomonas fluorescens,species,294,141,,,,
Vibrio anguillarum,species,55601,137,,,,
Bacillus anthracis,species,1392,136,,,,
Lacticaseibacillus,genus,,135,,,,
Staphylococcus xylosus,species,1288,134,,,,
