peptide_id,organism,recovery_status,censor_type,recovered_min_uM,recovered_max_uM
8,Acinetobacter baumannii,recovered,censored,100.0,inf
8,Bacillus subtilis,recovered,censored,100.0,inf
8,Escherichia coli,recovered,censored,100.0,inf
8,Pseudomonas aeruginosa,recovered,censored,100.0,inf
8,Staphylococcus aureus,recovered,censored,100.0,inf
10,Staphylococcus aureus,recovered,ranged,13.2,18.0
10,Streptococcus sanguinis,recovered,ranged,3.61,6.01
11,Neisseria gonorrhoeae,recovered,ranged,2.2,2.38
11,Proteus vulgaris,recovered,ranged,1.26,4.7
11,Serratia sp.,recovered,ranged,2.17,4.46
11,Staphylococcus saprophyticus,recovered,ranged,0.668,0.669
11,Streptococcus agalactiae,recovered,ranged,1.51,3.8
14,Pseudomonas aeruginosa,recovered,censored,100.0,inf
14,Streptococcus mutans,recovered,censored,100.0,inf
15,Acinetobacter baumannii,recovered,censored,132.0,inf
15,Mycobacterium avium,recovered,censored,42.2,inf
15,Mycobacterium tuberculosis,recovered,censored,42.2,inf
15,Staphylococcus aureus,recovered,censored,132.0,inf
16,Acinetobacter baumannii,recovered,ranged,6.33,101.0
16,Enterococcus faecalis,recovered,ranged,1.58,50.6
16,Enterococcus faecium,recovered,ranged,6.33,101.0
16,Escherichia coli,recovered,ranged,1.58,25.3
16,Klebsiella pneumoniae,recovered,ranged,1.58,50.6
16,Pseudomonas aeruginosa,recovered,ranged,6.33,101.0
16,Serratia marcescens,recovered,ranged,3.16,101.0
16,Stenotrophomonas maltophilia,recovered,ranged,6.33,101.0
16,Streptococcus pneumoniae,recovered,ranged,1.58,50.6
36,Acinetobacter baumannii,recovered,ranged,5.42,43.3
36,Enterococcus faecalis,recovered,ranged,1.35,43.3
36,Enterococcus faecium,recovered,ranged,5.42,43.3
36,Escherichia coli,recovered,ranged,1.35,21.7
36,Klebsiella pneumoniae,recovered,ranged,1.35,43.3
36,Pseudomonas aeruginosa,recovered,ranged,5.42,86.7
36,Serratia marcescens,recovered,ranged,2.71,43.3
36,Stenotrophomonas maltophilia,recovered,ranged,5.42,43.3
36,Streptococcus pneumoniae,recovered,ranged,1.35,43.3
37,Acinetobacter calcoaceticus,recovered,ranged,4.06,8.13
37,Aeromonas bestiarum,recovered,censored,130.0,inf
37,Franconibacter helveticus,recovered,ranged,4.06,8.13
37,Proteus myxofaciens,recovered,censored,130.0,inf
37,Pseudomonas fluorescens,recovered,censored,130.0,inf
51,Actinomyces naeslundii,recovered,censored,33.9,inf
51,Enterococcus faecalis,recovered,ranged,8.47,16.9
51,Fusobacterium nucleatum,recovered,ranged,16.9,33.9
51,Porphyromonas gingivalis,recovered,ranged,8.47,16.9
51,Streptococcus mutans,recovered,ranged,8.47,16.9
52,Bacillus subtilis,recovered,ranged,3.89,7.78
52,Escherichia coli,recovered,ranged,1.94,3.89
55,Bacillus subtilis,recovered,ranged,4.15,8.29
55,Escherichia coli,recovered,ranged,4.15,8.29
57,Escherichia coli,recovered,censored,22.0,inf
57,Proteus vulgaris,recovered,censored,6.61,inf
57,Pseudomonas aeruginosa,recovered,censored,22.0,inf
57,Shigella flexneri,recovered,censored,6.61,inf
72,Acinetobacter baumannii,recovered,censored,100.0,inf
72,Bacillus subtilis,recovered,censored,100.0,inf
72,Escherichia coli,recovered,censored,100.0,inf
72,Pseudomonas aeruginosa,recovered,censored,100.0,inf
72,Staphylococcus aureus,recovered,censored,100.0,inf
74,Acinetobacter baumannii,recovered,censored,100.0,inf
74,Bacillus subtilis,recovered,censored,100.0,inf
74,Escherichia coli,recovered,censored,100.0,inf
74,Pseudomonas aeruginosa,recovered,censored,100.0,inf
74,Staphylococcus aureus,recovered,censored,100.0,inf
75,Acinetobacter baumannii,recovered,censored,100.0,inf
75,Escherichia coli,recovered,censored,100.0,inf
75,Pseudomonas aeruginosa,recovered,censored,100.0,inf
75,Staphylococcus aureus,recovered,censored,100.0,inf
78,Acinetobacter baumannii,recovered,censored,100.0,inf
78,Escherichia coli,recovered,censored,100.0,inf
78,Pseudomonas aeruginosa,recovered,censored,100.0,inf
78,Staphylococcus aureus,recovered,censored,100.0,inf
79,Staphylococcus aureus,recovered,ranged,6.0,12.0
80,Bacillus cereus,recovered,ranged,3.0,6.0
80,Escherichia coli,recovered,ranged,3.0,6.0
80,Staphylococcus aureus,recovered,ranged,11.0,25.0
82,Pseudomonas aeruginosa,recovered,ranged,3.0,6.0
84,Bacillus cereus,recovered,ranged,11.0,25.0
84,Staphylococcus aureus,recovered,ranged,6.0,12.0
85,Bacillus cereus,recovered,censored,50.0,inf
85,Escherichia coli,recovered,ranged,24.0,50.0
85,Staphylococcus aureus,recovered,censored,50.0,inf
87,Pseudomonas aeruginosa,recovered,ranged,3.0,6.0
87,Streptococcus salivarius,recovered,censored,32.0,inf
88,Pseudomonas aeruginosa,recovered,ranged,1.0,3.0
88,Staphylococcus aureus,recovered,ranged,1.0,3.0
88,Streptococcus salivarius,recovered,censored,32.0,inf
89,Bacillus cereus,recovered,ranged,11.0,25.0
89,Escherichia coli,recovered,ranged,11.0,25.0
89,Staphylococcus aureus,recovered,ranged,6.0,12.0
90,Bacillus cereus,recovered,censored,50.0,inf
90,Escherichia coli,recovered,censored,50.0,inf
90,Pseudomonas aeruginosa,recovered,censored,50.0,inf
90,Staphylococcus aureus,recovered,censored,50.0,inf
92,Bacillus cereus,recovered,ranged,6.0,12.0
93,Staphylococcus aureus,recovered,ranged,24.0,50.0
94,Bacillus cereus,recovered,ranged,6.0,12.0
94,Escherichia coli,recovered,ranged,6.0,12.0
94,Pseudomonas aeruginosa,recovered,ranged,6.0,12.0
94,Staphylococcus aureus,recovered,ranged,6.0,12.0
95,Bacillus cereus,recovered,censored,50.0,inf
95,Escherichia coli,recovered,censored,50.0,inf
95,Pseudomonas aeruginosa,recovered,censored,50.0,inf
95,Staphylococcus aureus,recovered,censored,50.0,inf
99,Bacillus cereus,recovered,ranged,3.0,6.0
103,Escherichia coli,recovered,ranged,2.6,5.2
103,Pseudomonas aeruginosa,recovered,ranged,10.4,20.8
103,Staphylococcus aureus,recovered,ranged,1.3,2.6
107,Pseudomonas aeruginosa,recovered,ranged,0.561,4.49
108,Pseudomonas aeruginosa,recovered,ranged,1.32,10.6
109,Escherichia coli,recovered,ranged,5.5,11.0
110,Pseudomonas aeruginosa,recovered,censored,91.0,inf
110,Staphylococcus aureus,recovered,censored,91.0,inf
112,Escherichia coli,recovered,ranged,2.9,5.8
118,Staphylococcus aureus,recovered,censored,80.0,inf
119,Pseudomonas aeruginosa,recovered,censored,75.0,inf
119,Staphylococcus aureus,recovered,censored,75.0,inf
120,Escherichia coli,recovered,ranged,19.0,38.0
121,Pseudomonas aeruginosa,recovered,ranged,19.0,28.0
122,Staphylococcus aureus,recovered,censored,75.0,inf
124,Pseudomonas aeruginosa,recovered,censored,75.0,inf
124,Staphylococcus aureus,recovered,censored,75.0,inf
127,Bacillus megaterium,recovered,censored,64.0,inf
127,Pseudomonas aeruginosa,recovered,censored,64.0,inf
127,Salmonella enterica,recovered,censored,64.0,inf
127,Staphylococcus aureus,recovered,censored,64.0,inf
128,Pseudomonas aeruginosa,recovered,censored,64.0,inf
128,Salmonella enterica,recovered,censored,64.0,inf
128,Staphylococcus aureus,recovered,censored,64.0,inf
139,Pseudomonas aeruginosa,recovered,censored,200.0,inf
142,Escherichia coli,recovered,censored,64.0,inf
144,Micrococcus luteus,recovered,ranged,23.0,27.0
144,Pseudomonas fluorescens,recovered,ranged,132.0,140.0
144,Staphylococcus hominis,recovered,ranged,38.0,40.0
146,Streptococcus gordonii,recovered,censored,1590.0,inf
160,Micrococcus luteus,recovered,ranged,0.5,1.7
165,Burkholderia cepacia,recovered,censored,22.4,inf
165,Mycobacterium tuberculosis,recovered,ranged,0.619,0.849
